#Selection names: Selection 1
#Areas (µm^2): 22658185.6
Selection,X,Y
Selection 1,2261.0607491704295,420.933180273997
Selection 1,2277.5758944132185,378.0065556506542
Selection 1,2330.934479506524,383.0567467828121
Selection 1,2332.643382566396,383.0567467828121
Selection 1,2310.657196930435,334.25098551319445
Selection 1,2286.6815420605944,273.94201110921693
Selection 1,2251.891336483506,226.73037582828547
Selection 1,2281.095724596238,180.85780637785047
Selection 1,2340.0273741459905,175.22097688185596
Selection 1,2400.7827038268,166.67646158249778
Selection 1,2446.336448079498,131.2486056099349
Selection 1,2510.879421109426,138.26275996015434
Selection 1,2567.1201859902767,156.4230432232679
Selection 1,2638.5370302834194,183.12784178573966
Selection 1,2662.9335344142737,246.73984523827502
Selection 1,2679.844022902257,306.7299944445154
Selection 1,2679.844022902257,366.72014365075563
Selection 1,2703.373322495266,435.9944826151045
Selection 1,2758.172997482344,445.1256362782993
Selection 1,2790.0810232718877,396.88100735669923
Selection 1,2771.474384731942,339.7220259063657
Selection 1,2748.990831787511,282.6523155113985
Selection 1,2783.6407542775955,217.9945654102849
Selection 1,2839.588199976527,183.9822933156755
Selection 1,2908.4671956956818,195.33247035512147
Selection 1,2963.254117674851,200.3826614872794
Selection 1,3014.457444431452,178.40922885922842
Selection 1,3117.131911110755,156.04045298598314
Selection 1,3177.4153794989134,142.27995745164367
Selection 1,3260.2334128631405,115.70268896826677
Selection 1,3339.9397122974524,96.06305678765243
Selection 1,3422.5026855034894,72.39347410763921
Selection 1,3477.404384553843,53.83784759933143
Selection 1,3555.860889213025,28.280819748713782
Selection 1,3641.127500095874,6.128845009929924
Selection 1,3698.898625925863,2.60901482691072
Selection 1,3777.2658595296784,4.394435934239288
Selection 1,3842.45923596299,5.236134456265591
Selection 1,3911.21070160305,8.8834947183797
Selection 1,3972.335868513235,5.019333321804268
Selection 1,4045.1427906685126,-1.0383454352033878
Selection 1,4073.1101370140236,-49.7038236178167
Selection 1,4126.647264218062,-57.90400770361865
Selection 1,4196.788807720256,-34.99960549817491
Selection 1,4233.900060736872,7.46791084042635
Selection 1,4298.289997671886,28.229807717075847
Selection 1,4378.429899375121,37.43747942772749
Selection 1,4461.898336142732,45.29333229997326
Selection 1,4534.220643997449,49.05546963327277
Selection 1,4627.062541578535,49.05546963327277
Selection 1,4690.202683738419,31.86441497128046
Selection 1,4744.3136962983845,15.400281760129042
Selection 1,4822.196315601639,44.42612776212796
Selection 1,4887.67025820896,44.42612776212796
Selection 1,4963.4486312071485,56.51597926032438
Selection 1,5039.137733149971,55.45747960383671
Selection 1,5103.986778369727,54.5010040106249
Selection 1,5162.765391824566,50.87914976432978
Selection 1,5238.428987751569,46.74717520165514
Selection 1,5301.773178038005,43.979772485295776
Selection 1,5364.479717928967,41.31439383221247
Selection 1,5421.753476450486,40.459942302276616
Selection 1,5502.862606754842,36.532015866153706
Selection 1,5577.697257167728,31.44356571026726
Selection 1,5641.373025659811,22.082857904701726
Selection 1,5697.575531516933,16.89238368553936
Selection 1,5762.730648926517,8.182079283357748
Selection 1,5838.483515908886,6.6644713421284845
Selection 1,5907.834372920692,6.6644713421284845
Selection 1,5975.438067848898,14.316276087822375
Selection 1,6057.019059445904,10.299078596333098
Selection 1,6110.977035910956,5.070345353442249
Selection 1,6193.055394816432,33.63708307069953
